                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5305,                 3.1512,                  1.631,                0.00206,                    0.5,                0.46283,                0.44736,                0.56724,                 2.9648,                0.98909,                 0.0712,                 0.0032,                 0.0032
                      1,                0.61239,                 1.7504,                0.94873,                0.99919,                    0.5,                0.50002,                0.45358,                 0.7376,                 2.1525,                0.96814,               0.041474,              0.0064743,              0.0064743
                      2,                0.69166,                 1.0116,                0.94004,                0.98505,                0.75758,                0.94208,                0.67469,                0.76606,                 1.0499,                 1.0596,               0.011722,              0.0097224,              0.0097224
                      3,                0.69946,                0.95669,                0.94811,                0.99343,                  0.945,                0.97285,                0.72786,                0.77275,                0.82503,                 1.0311,              0.0098812,              0.0098812,              0.0098812
                      4,                 0.6516,                0.84488,                0.95843,                0.99368,                0.97727,                0.98109,                0.73015,                0.67427,                0.75656,                 1.0062,              0.0098812,              0.0098812,              0.0098812
                      5,                 0.6504,                0.83128,                0.94141,                0.97101,                 0.9744,                0.97687,                0.73497,                 0.6563,                 0.6983,                0.98889,              0.0098416,              0.0098416,              0.0098416
                      6,                0.59238,                 0.7483,                0.93787,                0.97979,                0.90538,                0.97976,                 0.7462,                0.66955,                0.85885,                0.99499,               0.009802,               0.009802,               0.009802
                      7,                0.61084,                0.77347,                0.93732,                0.97198,                0.97604,                 0.9805,                0.77073,                0.63957,                0.75071,                 1.0014,              0.0097624,              0.0097624,              0.0097624
                      8,                0.56798,                0.70582,                0.92969,                0.98627,                0.97695,                0.98663,                0.76691,                0.61954,                0.63186,                0.97668,              0.0097228,              0.0097228,              0.0097228
                      9,                0.57943,                0.70494,                0.94397,                0.99373,                0.96753,                 0.9898,                0.82076,                 0.5493,                 0.6578,                0.98797,              0.0096832,              0.0096832,              0.0096832
                     10,                0.55818,                0.66911,                0.93238,                0.99519,                0.98403,                0.98909,                0.80231,                0.58787,                 0.5959,                0.97145,              0.0096436,              0.0096436,              0.0096436
                     11,                0.55187,                 0.6742,                 0.9203,                0.99618,                0.97623,                0.98941,                0.79229,                0.54721,                0.66706,                0.96133,               0.009604,               0.009604,               0.009604
                     12,                0.53708,                0.65814,                0.92482,                0.99599,                0.97727,                0.99016,                0.81007,                0.50199,                0.58752,                0.95524,              0.0095644,              0.0095644,              0.0095644
                     13,                0.52196,                0.62641,                0.92312,                0.99444,                 0.9834,                0.99083,                 0.7326,                0.59805,                 0.6396,                0.97754,              0.0095248,              0.0095248,              0.0095248
                     14,                0.53074,                0.63013,                0.92046,                0.99621,                0.98485,                0.99049,                0.71408,                0.63882,                0.63364,                0.98796,              0.0094852,              0.0094852,              0.0094852
                     15,                0.49446,                  0.609,                 0.9179,                0.98683,                0.98692,                 0.9915,                0.77775,                 0.6158,                0.67321,                0.98001,              0.0094456,              0.0094456,              0.0094456
                     16,                0.50924,                0.61285,                0.92271,                0.97891,                0.96661,                0.98599,                0.73706,                0.63191,                0.58532,                0.98094,               0.009406,               0.009406,               0.009406
                     17,                 0.5008,                0.58563,                0.92492,                0.99499,                0.99237,                0.99119,                0.77712,                0.59681,                0.58574,                0.97034,              0.0093664,              0.0093664,              0.0093664
                     18,                0.49699,                0.61711,                0.92204,                0.99178,                0.98485,                0.98977,                0.76955,                0.56331,                0.53656,                0.96958,              0.0093268,              0.0093268,              0.0093268
                     19,                0.50891,                0.60049,                0.92395,                0.99423,                0.98191,                 0.9904,                0.79238,                 0.5552,                0.53557,                0.97569,              0.0092872,              0.0092872,              0.0092872
                     20,                0.47003,                0.58371,                0.92182,                0.99894,                0.98485,                0.99164,                0.80988,                 0.5407,                0.64732,                0.96628,              0.0092476,              0.0092476,              0.0092476
                     21,                  0.467,                0.56573,                0.91195,                0.98701,                0.98392,                0.97909,                0.79267,                0.55378,                0.49784,                0.97241,               0.009208,               0.009208,               0.009208
                     22,                0.48143,                0.55133,                0.91824,                0.99521,                 0.9915,                0.99019,                0.81081,                0.55047,                0.54387,                0.95926,              0.0091684,              0.0091684,              0.0091684
                     23,                0.47423,                0.53051,                0.91653,                 0.9944,                0.99164,                0.99007,                0.81407,                0.55858,                0.48839,                0.95768,              0.0091288,              0.0091288,              0.0091288
                     24,                0.47671,                0.54715,                0.90856,                 0.9948,                 0.9909,                0.99006,                0.77659,                0.65365,                0.48222,                 0.9765,              0.0090892,              0.0090892,              0.0090892
                     25,                0.47064,                0.52557,                0.90935,                0.99581,                0.98485,                0.99117,                0.81404,                0.48208,                0.42267,                0.95622,              0.0090496,              0.0090496,              0.0090496
                     26,                0.48359,                 0.5449,                0.91706,                0.99566,                0.99242,                0.99317,                 0.8343,                0.51702,                 0.4514,                0.96779,                0.00901,                0.00901,                0.00901
                     27,                0.44077,                0.53325,                 0.9137,                0.98888,                0.99241,                0.99216,                 0.8049,                0.48143,                0.42403,                0.96746,              0.0089704,              0.0089704,              0.0089704
                     28,                0.46735,                0.53997,                0.91754,                0.98805,                0.99237,                0.98994,                0.83392,                0.48404,                0.40341,                0.95685,              0.0089308,              0.0089308,              0.0089308
                     29,                0.44845,                0.51317,                 0.9021,                0.99573,                0.98485,                0.99322,                0.81519,                0.51214,                0.42038,                0.96033,              0.0088912,              0.0088912,              0.0088912
                     30,                0.45127,                 0.4873,                0.90341,                0.99147,                0.98485,                0.99349,                0.81937,                0.42717,                0.35931,                0.94937,              0.0088516,              0.0088516,              0.0088516
                     31,                0.43723,                 0.4953,                0.89568,                0.99394,                0.98485,                0.99319,                0.81459,                0.50785,                0.48855,                0.95065,               0.008812,               0.008812,               0.008812
                     32,                0.45451,                0.46855,                 0.8968,                0.99663,                0.99178,                0.99379,                0.82542,                0.54112,                0.48535,                0.95018,              0.0087724,              0.0087724,              0.0087724
                     33,                0.43641,                0.46699,                0.90117,                0.99714,                0.99242,                0.99371,                0.80663,                 0.5317,                 0.5215,                0.95657,              0.0087328,              0.0087328,              0.0087328
                     34,                0.44062,                0.50607,                0.89943,                0.99476,                0.99242,                0.99367,                0.83165,                0.48138,                0.40343,                0.95588,              0.0086932,              0.0086932,              0.0086932
                     35,                0.42712,                0.46851,                0.90331,                0.99586,                0.99242,                  0.992,                 0.8327,                0.50132,                0.47236,                0.95726,              0.0086536,              0.0086536,              0.0086536
                     36,                0.44813,                 0.4965,                0.90748,                0.99547,                0.99242,                0.99198,                0.83031,                0.48423,                0.40466,                0.95501,               0.008614,               0.008614,               0.008614
                     37,                0.42492,                0.45316,                0.89464,                0.99706,                0.99242,                0.99359,                0.83685,                0.51743,                0.37396,                 0.9564,              0.0085744,              0.0085744,              0.0085744
                     38,                0.44072,                 0.4784,                0.89255,                0.98701,                0.99111,                0.98983,                 0.7857,                0.53703,                0.45229,                 0.9602,              0.0085348,              0.0085348,              0.0085348
                     39,                0.43376,                0.47073,                0.90375,                0.99597,                0.99242,                0.99166,                0.82947,                0.45198,                0.36294,                0.95326,              0.0084952,              0.0084952,              0.0084952
                     40,                   0.42,                 0.4347,                 0.8968,                0.99412,                0.99242,                0.99164,                0.79549,                0.52148,                0.38124,                0.96129,              0.0084556,              0.0084556,              0.0084556
                     41,                 0.4013,                0.44928,                0.90099,                0.98764,                0.99189,                0.99125,                0.80935,                0.47033,                0.37267,                0.95018,               0.008416,               0.008416,               0.008416
                     42,                0.41317,                0.46794,                0.89798,                0.99695,                0.99242,                0.99384,                0.82383,                0.45331,                0.37795,                0.94616,              0.0083764,              0.0083764,              0.0083764
                     43,                0.40576,                0.46843,                0.89233,                0.99553,                0.99242,                0.99308,                0.82107,                0.49076,                0.37682,                0.94842,              0.0083368,              0.0083368,              0.0083368
                     44,                 0.3968,                0.45732,                0.90185,                 0.9871,                0.99242,                 0.9921,                0.84105,                0.44922,                0.37626,                0.94545,              0.0082972,              0.0082972,              0.0082972
                     45,                0.39669,                0.43084,                0.89161,                0.98867,                0.99242,                 0.9912,                0.83591,                0.46043,                0.31968,                0.95115,              0.0082576,              0.0082576,              0.0082576
                     46,                0.40424,                0.45362,                0.89235,                0.99734,                0.99013,                0.99176,                0.81824,                0.48996,                0.33751,                0.95434,               0.008218,               0.008218,               0.008218
                     47,                0.39748,                0.43337,                0.89284,                0.99504,                0.99242,                0.99384,                0.82954,                0.46494,                  0.364,                0.95106,              0.0081784,              0.0081784,              0.0081784
                     48,                 0.3889,                0.42953,                0.88908,                0.99572,                0.99242,                0.99172,                0.82869,                 0.4488,                0.43404,                0.94514,              0.0081388,              0.0081388,              0.0081388
                     49,                0.39637,                0.41162,                0.89187,                0.99658,                0.99143,                0.99413,                0.82972,                0.44706,                0.33985,                0.94676,              0.0080992,              0.0080992,              0.0080992
